lead_country,lag_country,n_both,n_a_first,n_ties,hit_rate,hit_rate_wilson_lb,median_lead_days,mean_lead_days
IE,ES,83,26,0,0.3132530120481928,0.22361249958256627,112.0,173.7
NO,CA,62,20,0,0.3225806451612903,0.21954328640542628,114.0,304.6
BE,ES,63,20,0,0.31746031746031744,0.21586527168091207,198.0,299.9
NZ,NO,14,6,0,0.42857142857142855,0.21380509930400526,170.5,237
NO,GB,3,2,0,0.6666666666666666,0.20765495512648788,201.0,201
CH,SK,1,1,0,1.0,0.20654329147389294,91,91
ES,SK,1,1,0,1.0,0.20654329147389294,135,135
FR,PT,1,1,0,1.0,0.20654329147389294,48,48
GB,FR,1,1,0,1.0,0.20654329147389294,175,175
GB,MY,1,1,0,1.0,0.20654329147389294,706,706
GR,CH,1,1,0,1.0,0.20654329147389294,105,105
IE,PT,1,1,0,1.0,0.20654329147389294,38,38
NO,CH,1,1,0,1.0,0.20654329147389294,642,642
NZ,PT,1,1,0,1.0,0.20654329147389294,116,116
GR,ES,44,14,0,0.3181818181818182,0.19999129931673565,62.5,146
BE,CA,227,57,0,0.2511013215859031,0.19914866124992386,257,370.2
IE,AU,65,19,0,0.2923076923076923,0.19583261556264242,277,296.9
DE,CA,91,25,0,0.27472527472527475,0.19355049670786545,376,534.0
NZ,DE,23,8,1,0.34782608695652173,0.18811054636982238,100.0,173.8
NZ,BE,39,12,0,0.3076923076923077,0.1856575344598306,226.0,308.9
ES,CA,111,27,0,0.24324324324324326,0.17289320485810214,157,257.3
NZ,SG,21,7,0,0.3333333333333333,0.17194536432683688,39,179.7
ES,US,104,25,0,0.2403846153846154,0.16845266546271026,233,352.1
GR,SG,31,9,0,0.2903225806451613,0.16095620718432874,75,98.1
NO,ES,36,10,0,0.2777777777777778,0.158481700258138,92.0,228.2
GR,AU,97,22,2,0.2268041237113402,0.15481698841986685,112.5,212.3
IE,CA,87,20,0,0.22988505747126436,0.1540311569251148,85.5,193.2
NL,BE,103,23,2,0.22330097087378642,0.1536565519868537,36,70.2
NZ,GR,24,7,0,0.2916666666666667,0.14914460334164278,125,163.3
GR,NO,34,9,1,0.2647058823529412,0.14601027541553793,62,180.4
NL,NZ,35,9,0,0.2571428571428571,0.14162868726550137,53,45.7
AU,US,219,41,0,0.1872146118721461,0.14110651460631923,261,559.5
